#domain,#severity,#reject_media,#reject_reports,#public_comment,#obfuscate
cryptotooter.com,silence,false,false,Cryptocurrency,false
twitter.doesnotexist.club,suspend,false,false,Birdpoop,false
t.l3r.me,suspend,false,false,Birdpoop,false
test.misskey.cf,suspend,false,false,Birdpoop,false
beta.mstdn.cf,suspend,false,false,Birdpoop,false
federated.fun,suspend,false,false,Bigotry,false
mastodon.satoshishop.de,suspend,false,false,Bigotry,false
breastmilk.club,suspend,false,false,Bigotry,false
banepo.st,suspend,false,false,Bigotry,false
social.prospeech.space,silence,false,false,Bigotry,false
mastinator.com,suspend,false,false,Malicious,false
republic.red,silence,false,false,Bigotry,false
inumbra.xyz,suspend,false,false,Bigotry,false
mastodon.com.tr,silence,false,false,Cryptocurrency,false
firefaithfellowship.com,suspend,false,false,Misinformation,false
writehere.is,suspend,false,false,Extremism ,false
bibly.com,suspend,false,false,Extremism,false
kibitz.cloud,suspend,false,false,Harassment,false
rot.gives,suspend,false,false,Harassment,false
nemoneya.me,suspend,false,false,Malware,false
shrimpcam.pw,suspend,false,false,Malware,false
0twitter.com,suspend,false,false,Birdpoop,false
activitypub-proxy.cf,suspend,false,false,Malicious,false
anemoneya.me,suspend,false,false,Malicious,false
homunyan.com,suspend,false,false,Malicious,false
pleroma.nthomas20.net,suspend,false,false,Birdpoop,true
rojogato.com,suspend,false,false,Harassment,false
ddns.net,suspend,false,false,Dynamic DNS,false
13bells.com,silence,false,false,Tier0,false
1611.social,silence,false,false,Tier0,false
asbestos.cafe,silence,false,false,Tier0,false
cum.camp,silence,false,false,Tier0,false
cyberstorm.one,silence,false,false,Tier0,false
eientei.org,silence,false,false,Tier0,false
froth.zone,silence,false,false,Tier0,false
mastertibbles.co.uk,silence,false,false,Tier0,false
obo.sh,silence,false,false,Tier0,false
outpoa.st,silence,false,false,Tier0,false
scots.network,silence,false,false,Tier0,false
shitpost.cloud,silence,false,false,Tier0,false
aethy.com,silence,false,false,Tier0,false
shota.house,silence,false,false,Tier0,false
trumpislovetrumpis.life,suspend,false,false,Tier0,false
ignorelist.com,suspend,false,false,Tier0,false
076.ne.jp,suspend,false,false,"",false
10minutepleroma.com,suspend,false,false,"",false
4aem.com,suspend,false,false,"",false
5dollah.click,suspend,false,false,"",false
80percent.social,suspend,false,false,"",false
8777.ch,suspend,false,false,"",false
a.sc,suspend,false,false,"",false
addy.gg,suspend,false,false,"",false
alteregocreations.com,suspend,false,false,"",false
angrytoday.com,suspend,false,false,"",false
anime.website,suspend,false,false,"",false
annihilation.social,suspend,false,false,"",false
anon-kenkai.com,suspend,false,false,"",false
arachnid.town,suspend,false,false,"",false
badly.co,suspend,false,false,"",false
bajax.us,suspend,false,false,"",false
beefyboys.club,suspend,false,false,"",false
beepboop.ga,suspend,false,false,"",false
bgzashtita.es,suspend,false,false,"",false
bikeshed.party,suspend,false,false,"",false
bitcointv.com,suspend,false,false,"",false
brainsoap.net,suspend,false,false,"",false
bubbletea.dev,suspend,false,false,"",false
bungle.online,suspend,false,false,"",false
cachapa.moe,suspend,false,false,"",false
cachapa.xyz,suspend,false,false,"",false
carnivore.social,suspend,false,false,"",false
catgirl.life,suspend,false,false,"",false
childpawn.shop,suspend,false,false,"",false
ckpg.space,suspend,false,false,"",false
collapsitarian.io,suspend,false,false,"",false
comfyboy.club,suspend,false,false,"",false
crucible.world,suspend,false,false,"",false
cybercriminal.eu,suspend,false,false,"",false
d-fens.systems,suspend,false,false,"",false
danksquad.org,suspend,false,false,"",false
daspr.io,suspend,false,false,"",false
decept.org,suspend,false,false,"",false
dembased.xyz,suspend,false,false,"",false
darknight-coffee.org,suspend,false,false,"",false
desupost.soy,suspend,false,false,"",false
dickkickextremist.xyz,suspend,false,false,"",false
dingdash.com,suspend,false,false,"",false
dissident.business,suspend,false,false,"",false
dixies.land,suspend,false,false,"",false
djsumdog.com,suspend,false,false,"",false
dtzbts.xyz,suspend,false,false,"",false
elementality.org,suspend,false,false,"",false
endtimebelievers.com,suspend,false,false,"",false
epenguin.com,suspend,false,false,"",false
fbxl.net,suspend,false,false,"",false
fedposters.club,suspend,false,false,"",false
fightthis.net,suspend,false,false,"",false
firedragonstudios.com,suspend,false,false,"",false
fluf.club,suspend,false,false,"",false
foxfam.club,suspend,false,false,"",false
fr13nd5.com,suspend,false,false,"",false
freedomstrike.net,suspend,false,false,"",false
freedomstrike.org,suspend,false,false,"",false
freesoftwareextremist.com,suspend,false,false,"",false
freespeech.group,suspend,false,false,"",false
freetalklive.com,suspend,false,false,"",false
freezepeach.xyz,suspend,false,false,"",false
frennet.xyz,suspend,false,false,"",false
gab.ai,suspend,false,false,"",false
gamers.exposed,suspend,false,false,"",false
gangstalking.services,suspend,false,false,"",false
gearlandia.haus,suspend,false,false,"",false
genderheretics.xyz,suspend,false,false,"",false
gentoo.live,suspend,false,false,"",false
geofront.rocks,suspend,false,false,"",false
ghetti.monster,suspend,false,false,"",false
glindr.org,suspend,false,false,"",false
glowers.club,suspend,false,false,"",false
goyim.app,suspend,false,false,"",false
goyslop.cafe,suspend,false,false,"",false
guizzyordi.info,suspend,false,false,"",false
haeder.net,suspend,false,false,"",false
hallsofamenti.io,suspend,false,false,"",false
handholding.io,suspend,false,false,"",false
handicapped.tk,suspend,false,false,"",false
hedgehoghunter.club,suspend,false,false,"",false
hendrixgames.com,suspend,false,false,"",false
hermitmountain.top,suspend,false,false,"",false
hidamari.apartments,suspend,false,false,"",false
homd.xyz,suspend,false,false,"",false
hornyjail.pro,suspend,false,false,"",false
hunk.city,suspend,false,false,"",false
husk.site,suspend,false,false,"",false
imirhil.fr,suspend,false,false,"",false
inferencium.net,suspend,false,false,"",false
intkos.link,suspend,false,false,"",false
ironbug.org,suspend,false,false,"",false
justbros.xyz,suspend,false,false,"",false
kabuki.club,suspend,false,false,"",false
kawen.space,suspend,false,false,"",false
lain.gay,suspend,false,false,"",false
lain.sh,suspend,false,false,"",false
kawa-kun.com,suspend,false,false,"",false
leftychan.net,suspend,false,false,"",false
lucasvl.nl,suspend,false,false,"",false
maladaptive.art,suspend,false,false,"",false
kenhbit.com,suspend,false,false,"",false
kompost.cz,suspend,false,false,"",false
kitsunemimi.club,suspend,false,false,"",false
liberdon.com,suspend,false,false,"",false
librenet.co.za,suspend,false,false,"",false
mastodon.cf,suspend,false,false,"",false
meld.de,suspend,false,false,"",false
kiwifarms.cc,suspend,false,false,"",false
kiwifarms.is,suspend,false,false,"",false
kurosawa.moe,suspend,false,false,"",false
kyaruc.moe,suspend,false,false,"",false
kys.moe,suspend,false,false,"",false
mahodou.moe,suspend,false,false,"",false
midwaytrades.com,suspend,false,false,"",false
letsalllovela.in,suspend,false,false,"",false
lizards.live,suspend,false,false,"",false
logografos.com,suspend,false,false,"",false
lolicon.rocks,suspend,false,false,"",false
marsey.club,suspend,false,false,"",false
merovingian.club,suspend,false,false,"",false
lovingexpressions.net,suspend,false,false,"",false
meme.moe,suspend,false,false,"",false
miku-enthusiast.club,suspend,false,false,"",false
mirr0r.city,suspend,false,false,"",false
mitra.social,suspend,false,false,"",false
moa.st,suspend,false,false,"",false
morale.ch,suspend,false,false,"",false
mouse.services,suspend,false,false,"",false
mrhands.horse,suspend,false,false,"",false
narrativerry.xyz,suspend,false,false,"",false
nalocal519.social,suspend,false,false,"",false
natehiggers.online,suspend,false,false,"",false
nationaljustice.social,suspend,false,false,"",false
nazi.social,suspend,false,false,"",false
neckbeard.xyz,suspend,false,false,"",false
needs.vodka,suspend,false,false,"",false
neenster.org,suspend,false,false,"",false
nekocave.xyz,suspend,false,false,"",false
nightshift.social,suspend,false,false,"",false
niscii.xyz,suspend,false,false,"",false
nnia.space,suspend,false,false,"",false
noagendasocial.nl,suspend,false,false,"",false
noagendatube.com,suspend,false,false,"",false
nobodyhasthe.biz,suspend,false,false,"",false
normie.cafe,suspend,false,false,"",false
novoa.nagoya,suspend,false,false,"",false
nukem.biz,suspend,false,false,"",false
oti.st,suspend,false,false,"",false
pawlicker.com,suspend,false,false,"",false
paypig.org,suspend,false,false,"",false
piazza.today,suspend,false,false,"",false
pibvt.net,suspend,false,false,"",false
pisskey.io,suspend,false,false,Oliphant,false
pizzaf.art,suspend,false,false,Oliphant,false
pkteerium.xyz,suspend,false,false,Oliphant,false
pmth.us,suspend,false,false,Oliphant,false
poast.org,suspend,false,false,Oliphant,false
poast.tv,suspend,false,false,"",false
pone.social,suspend,false,false,"",false
pooper.social,suspend,false,false,"",false
poridge.club,suspend,false,false,"",false
posix.gay,suspend,false,false,Oliphant,false
poweredbycocaine.com,suspend,false,false,"",false
preteengirls.biz,suspend,false,false,"",false
prospeech.space,suspend,false,false,Oliphant,false
pseudo-whiskey.bar,suspend,false,false,"",false
psion.co,suspend,false,false,"",false
quodverum.com,suspend,false,false,Oliphant,false
r18.social,suspend,false,false,"",false
rage.lol,suspend,false,false,"",false
rakket.app,suspend,false,false,"",false
rapefeminists.network,suspend,false,false,Oliphant,false
rebelbase.site,suspend,false,false,"",false
refusal.biz,suspend,false,false,"",false
refusal.llc,suspend,false,false,"",false
ruinouspowe.rs,suspend,false,false,Oliphant,false
satoshishop.de,suspend,false,false,"",false
saynoto.lgbt,suspend,false,false,"",false
schwartzwelt.xyz,suspend,false,false,Oliphant,false
shadowsocial.org,suspend,false,false,"",false
sharivegas.com,suspend,false,false,"",false
sheep.network,suspend,false,false,"",false
shigusegubu.club,suspend,false,false,"",false
witches.live,silence,false,false,"",false
shota.social,suspend,false,false,"",false
theapex.social,suspend,false,false,Oliphant,false
thebag.social,suspend,false,false,Oliphant,false
theres.life,suspend,false,false,Oliphant,false
thisisjoes.site,suspend,false,false,Oliphant,false
vrij.social,suspend,false,false,Oliphant,false
whinge.house,suspend,false,false,Oliphant,false
silliness.observer,suspend,false,false,"",false
unsafe.space,suspend,false,false,"",false
skinheads.eu,suspend,false,false,"",false
skinheads.io,suspend,false,false,"",false
smuglo.li,suspend,false,false,"",false
starnix.network,suspend,false,false,"",false
tnd.lol,suspend,false,false,"",false
troll.cafe,suspend,false,false,"",false
waifuism.life,suspend,false,false,Oliphant,false
whinge.town,suspend,false,false,"",false
skinheads.social,suspend,false,false,Oliphant,false
sneak.berlin,suspend,false,false,Oliphant,false
sonichu.com,suspend,false,false,Oliphant,false
skinheads.uk,suspend,false,false,Oliphant,false
terrible.place,suspend,false,false,Oliphant,false
xenofem.me,suspend,false,false,Oliphant,false
skinnyver.se,suspend,false,false,Oliphant,false
skippers-bin.com,suspend,false,false,Oliphant,false
thepostearthdestination.com,suspend,false,false,Oliphant,false
ua-fediland.de,suspend,false,false,Oliphant,false
skyshanty.xyz,suspend,false,false,Oliphant,false
soykaf.com,suspend,false,false,Oliphant,false
slash.cl,suspend,false,false,"",false
squid.kids,suspend,false,false,"",false
tkammer.de,suspend,false,false,"",false
stereophonic.space,suspend,false,false,Oliphant,false
takesama.com,suspend,false,false,Oliphant,false
urspringer.de,suspend,false,false,"",false
xn--p1abe3d.xn--80asehdb,suspend,false,false,"",false
teci.world,suspend,false,false,Oliphant,false
thechimp.zone,suspend,false,false,Oliphant,false
wideboys.org,suspend,false,false,"",false
truthsocial.co.in,suspend,false,false,"",false
tyil.nl,suspend,false,false,"",false
vladtepesblog.com,suspend,false,false,Oliphant,false
workers.dev,suspend,false,false,Oliphant,false
udongein.xyz,suspend,false,false,Oliphant,false
unperson.us,suspend,false,false,Oliphant,false
urchan.org,suspend,false,false,"",false
weeaboo.space,suspend,false,false,Oliphant,false
worm.pink,suspend,false,false,Oliphant,false
xhais.love,suspend,false,false,"",false
zztails.gay,suspend,false,false,"",false
wxw.moe,suspend,false,false,Oliphant,false
domain,suspend,false,false,"",false
ams3-03.smarterliving.nl,suspend,false,false,"",false
bearbirdsite.sicem.social,suspend,false,false,"",false
birb.byte.wtf,suspend,false,false,"",false
birb.redra1n.net,suspend,false,false,"",false
birb.stream,suspend,false,false,"",false
birbber.hotfemboy.pics,suspend,false,false,"",false
bird.chauvet.pro,suspend,false,false,"",false
bird.evilcyberhacker.net,suspend,false,false,"",false
bird.geiger.ee,suspend,false,false,"",false
bird.gensokyo.info,suspend,false,false,"",false
bird.granford.uk,suspend,false,false,"",false
bird.hock.one,suspend,false,false,"",false
bird.im-in.space,suspend,false,false,"",false
bird.istheguy.com,suspend,false,false,"",false
bird.karatek.net,suspend,false,false,"",false
bird.kuendig.io,suspend,false,false,"",false
bird.lummerland.ddnss.de,suspend,false,false,"",false
bird.r669.live,suspend,false,false,"",false
bird.seafoam.space,suspend,false,false,"",false
bird.shitposted.today,suspend,false,false,"",false
bird.tracto.pl,suspend,false,false,"",false
bird.waffles.fun,suspend,false,false,"",false
bird.zerojay.com,suspend,false,false,"",false
bird.zvo.io,suspend,false,false,"",false
birdlive.grupotd.nat.cu,suspend,false,false,"",false
birdsite.am-institute.swiss,suspend,false,false,"",false
birdsite.archybold.com,suspend,false,false,"",false
birdsite.axeleroy.com,suspend,false,false,"",false
birdsite.b93.dece.space,suspend,false,false,"",false
birdsite.blahaj.social,suspend,false,false,"",false
birdsite.cbruegg.com,suspend,false,false,"",false
birdsite.centennial.root.sx,suspend,false,false,"",false
birdsite.cloutier.co,suspend,false,false,"",false
birdsite.csachweh.de,suspend,false,false,"",false
birdsite.darkesttimeline.social,suspend,false,false,"",false
birdsite.datboi.network,suspend,false,false,"",false
birdsite.davinkevin.fr,suspend,false,false,"",false
birdsite.falkensweb.com,suspend,false,false,"",false
birdsite.felixmueller.cloud,suspend,false,false,"",false
birdsite.gabeappleton.me,suspend,false,false,"",false
birdsite.gnyo.org,suspend,false,false,"",false
birdsite.gred.al,suspend,false,false,"",false
birdsite.hexix.de,suspend,false,false,"",false
birdsite.hwarf.com,suspend,false,false,"",false
birdsite.ingwie.me,suspend,false,false,"",false
birdsite.intra.kaijauch.de,suspend,false,false,"",false
birdsite.jupiterslanding.social,suspend,false,false,"",false
birdsite.jvpiter.net,suspend,false,false,"",false
birdsite.k-fortytwo.de,suspend,false,false,"",false
birdsite.kaijauch.de,suspend,false,false,"",false
birdsite.kohl.dev,suspend,false,false,"",false
birdsite.koyu.space,suspend,false,false,"",false
birdsite.link,suspend,false,false,"",false
birdsite.lipsia.casa,suspend,false,false,"",false
birdsite.live,suspend,false,false,"",false
birdsite.lluni.de,suspend,false,false,"",false
birdsite.marschik.me,suspend,false,false,"",false
birdsite.mastodon.land,suspend,false,false,"",false
birdsite.schafscheiss.com,suspend,false,false,"",false
birdsite.seejy.ninja,suspend,false,false,"",false
birdsite.mastodon.me.uk,suspend,false,false,"",false
birdsite.miisu.net,suspend,false,false,"",false
birdsite.otmns.net,suspend,false,false,"",false
birdsite.vish.link,suspend,false,false,"",false
birdsite.vrparty.social,suspend,false,false,"",false
birdsite.monster,suspend,false,false,"",false
birdsite.nickurak.ca,suspend,false,false,"",false
birdsite.noitl.space,suspend,false,false,"",false
birdsite.nytpu.com,suspend,false,false,"",false
birdsite.spectreos.de,suspend,false,false,"",false
bridge.yopp.me,suspend,false,false,"",false
birdsite.outadoc.fr,suspend,false,false,"",false
birdsite.rap.social,suspend,false,false,"",false
birdsitelive.falschgold.net,suspend,false,false,"",false
birdsitelive.laski.app,suspend,false,false,"",false
birdsitelive.leonardwong.tech,suspend,false,false,"",false
birdsite.tableflip.zone,suspend,false,false,"",false
birdsite.tedandrachel.com,suspend,false,false,"",false
birdsite.toot.si,suspend,false,false,"",false
birdsite.weiranzhang.com,suspend,false,false,"",false
birdsitelive.self-hosted.site,suspend,false,false,"",false
blue.worldkey.io,suspend,false,false,"",false
bmu.beerinacan.com,suspend,false,false,"",false
bsl.adamstas.com,suspend,false,false,"",false
birdsitelive.angrydome.au,suspend,false,false,"",false
birdsitelive.baguette-it.social,suspend,false,false,"",false
birdsitelive.chatty.monster,suspend,false,false,"",false
birdsitelive.ffvo.dev,suspend,false,false,"",false
birdsitelive.kevinyank.com,suspend,false,false,"",false
birdsitelive.moistgarbage.info,suspend,false,false,"",false
birdsitelive.obey.social,suspend,false,false,"",false
birdsitelive.peanutlasko.com,suspend,false,false,"",false
birdsitelive.samedwards.ca,suspend,false,false,"",false
birdsitelive.loca.lt,suspend,false,false,"",false
birdsitelive.mastodon.vm.statshelix.com,suspend,false,false,"",false
birdsitelive.sboulema.nl,suspend,false,false,"",false
bot.gallion.sh,suspend,false,false,"",false
bridgebot.b-wells.us,suspend,false,false,"",false
bsite.spiderden.net,suspend,false,false,"",false
bsl.18m250.org,suspend,false,false,"",false
bsl.allofti.me,suspend,false,false,"",false
bsl.beerinacan.com,suspend,false,false,"",false
bsl.compostintraining.club,suspend,false,false,"",false
bsl.fedi.grh.am,suspend,false,false,"",false
bsl.gronk.cc,suspend,false,false,"",false
bsl.m-n.live,suspend,false,false,"",false
bsl.pride-rock-labs.com,suspend,false,false,"",false
bsl.shrdr.de,suspend,false,false,"",false
bsl.sid500.com,suspend,false,false,"",false
bsl.zogan.de,suspend,false,false,"",false
cuicui.senpaga.net,suspend,false,false,"",false
gateway.occm.cc,suspend,false,false,"",false
mastodon.socialspill.com,suspend,false,false,"",false
polaris.bonespr.it,suspend,false,false,"",false
politbird.twexodus.top,suspend,false,false,"",false
relay.scottsmall.org,suspend,false,false,"",false
socialloods.nl,suspend,false,false,"",false
sovran.social,suspend,false,false,"",false
t.beergeek.social,suspend,false,false,"",false
tinybirdsite.com,suspend,false,false,"",false
tweetbridge.mollys.social,suspend,false,false,"",false
twitbridge.click,suspend,false,false,"",false
twitter.829.hu,suspend,false,false,"",false
twitter.cryobyte.net,suspend,false,false,"",false
twitter.dev.holtwick.de,suspend,false,false,"",false
twitter.kfem.cat,suspend,false,false,"",false
twitter.moxr.de,suspend,false,false,"",false
twitter.savvas.cloud,suspend,false,false,"",false
twitter.ukd.social,suspend,false,false,"",false
twitterbridge.mastodon.maki0419.com,suspend,false,false,"",false
twtr.3q3.de,suspend,false,false,"",false
twtr.astra.lol,suspend,false,false,"",false
woof.foxxo.gay,suspend,false,false,"",false
zwezo.o-k-i.net,suspend,false,false,"",false
076.moe,suspend,false,false,"",false
101010.pl,silence,false,false,"",false
1745.info,suspend,false,false,"",false
animesexual.community,suspend,false,false,"",false
archivefedifor.fun,suspend,false,false,"",false
asimon.org,suspend,false,false,"",false
aspiechattr.me,silence,false,false,"",false
bozgor.org,suspend,false,false,"",false
brapbarn.farm,suspend,false,false,"",false
btrfly.social,suspend,false,false,"",false
bussy.monster,suspend,false,false,"",false
cafkafk.com,suspend,false,false,"",false
calobar.club,suspend,false,false,"",false
chudbuds.org,suspend,false,false,"",false
cobblestone.rocks,suspend,false,false,"",false
coolsite.win,suspend,false,false,"",false
danksquad.xyz,suspend,false,false,"",false
disqordia.space,silence,false,false,"",false
dogsex.org,suspend,false,false,"",false
drow.be,suspend,false,false,"",false
eeeeeeeee.eu,suspend,false,false,"",false
eightpoint.app,silence,false,false,"",false
explosion.party,suspend,false,false,"",false
freezepeach.online,suspend,false,false,"",false
fuwa.pink,suspend,false,false,"",false
elekk.xyz,silence,false,false,"",false
librem.one,silence,false,false,"",false
longyap.name.my,suspend,false,false,"",false
mstdn.jp,silence,false,false,"",false
epsilon.social,suspend,false,false,"",false
khajiit.tech,suspend,false,false,"",false
kolektiva.social,silence,false,false,"",false
otakufarms.com,suspend,false,false,"",false
outerheaven.club,suspend,false,false,"",false
probablyfreespeech.com,suspend,false,false,"",false
sealion.club,suspend,false,false,"",false
servernerds.net,silence,false,false,"",false
esmailelbob.xyz,suspend,false,false,"",false
gorf.space,suspend,false,false,"",false
freespeech.club,suspend,false,false,"",false
gab.com,suspend,false,false,"",false
hermit.cafe,suspend,false,false,"",false
himk.am,suspend,false,false,"",false
impeccable.social,suspend,false,false,"",false
jir.moe,suspend,false,false,"",false
jvpiter.net,suspend,false,false,"",false
lgbtfree.zone,suspend,false,false,"",false
loli.best,suspend,false,false,"",false
mastodon.se,silence,false,false,"",false
refuse2.work,suspend,false,false,"",false
loveforlandlords.com,suspend,false,false,"",false
mastodon.cloud,silence,false,false,"",false
meatbag.app,suspend,false,false,"",false
monads.online,silence,false,false,"",false
mostr.pub,suspend,false,false,"",false
mu.zaitcev.nu,suspend,false,false,"",false
murky.club,suspend,false,false,"",false
porntoot.com,silence,false,false,"",false
projectftm.com,suspend,false,false,"",false
rageparty.club,suspend,false,false,"",false
rayci.st,suspend,false,false,"",false
rebased.io,suspend,false,false,"",false
respublicae.eu,silence,false,false,"",false
roysbeer.place,suspend,false,false,"",false
scarlet.house,suspend,false,false,"",false
shitpost.racing,suspend,false,false,"",false
shpposter.club,suspend,false,false,"",false
socialgoblins.club,suspend,false,false,"",false
solagg.com,suspend,false,false,"",false
spearman.xyz,suspend,false,false,"",false
sperg.city,suspend,false,false,"",false
stormcloak.info,suspend,false,false,"",false
susmaninsurance.com,silence,false,false,"",false
taullo.social,suspend,false,false,"",false
the9thcircle.club,suspend,false,false,"",false
toot.pt,suspend,false,false,"",false
truthsocial.com,suspend,false,false,"",false
truthsocialpro.org,suspend,false,false,"",false
unbound.social,suspend,false,false,"",false
veenus.art,suspend,false,false,"",false
vuju.com,suspend,false,false,"",false
wake.st,silence,false,false,"",false
were.social,suspend,false,false,"",false
yams.lol,suspend,false,false,"",false
yukioke.com,suspend,false,false,"",false
zombiecats.run,suspend,false,false,"",false
zyzzsupremacy.xyz,suspend,false,false,"",false
berserker.town,silence,false,false,"",false
blob.cat,silence,false,false,"",false
